timestamp,ECG_I,ECG_II,ECG_III,AccX,AccY,AccZ,AccMag
5866.0,1.766413,1.754485,-0.011928,0.5099,0.6669,10.3558,10.389771280446938
5876.0,1.770751,1.766413,-0.004337,0.4707,0.7061,10.3166,10.351442955453118
5886.0,1.758823,1.752317,-0.006506,0.5099,0.7061,10.3558,10.392361082064076
5896.0,1.827137,1.83039,0.003253,0.5099,0.7453,10.3558,10.395098063029517
5906.0,1.862921,1.867258,0.004337,0.5099,0.7845,10.3558,10.397982107120592
5916.0,1.905211,1.923645,0.018434,0.5099,0.7453,10.2774,10.316996697682907
5926.0,1.948585,1.9822,0.033615,0.5099,0.7845,10.3166,10.358941732628868
5936.0,1.972441,2.006056,0.033615,0.4707,0.8238,10.2774,10.321102445475484
5946.0,2.00714,2.051599,0.044459,0.4707,0.7845,10.3166,10.357086187726738
5956.0,2.00714,2.054852,0.047712,0.4707,0.7845,10.3558,10.396133530308276
5966.0,1.99955,2.04943,0.04988,0.5099,0.8238,10.3166,10.361992086949304
5976.0,1.99955,2.036418,0.036868,0.5099,0.7845,10.3558,10.397982107120592
5986.0,1.955091,1.9822,0.027109,0.5099,0.7845,10.2774,10.31990256833852
5996.0,1.925813,1.956175,0.030362,0.5099,0.7845,10.3166,10.358941732628868
6006.0,1.868343,1.888945,0.020603,0.4707,0.7845,10.3166,10.357086187726738
6016.0,1.832559,1.833643,0.001084,0.4315,0.7845,10.3558,10.394432458773302
6026.0,1.790269,1.781594,-0.008675,0.4707,0.7453,10.3166,10.354190752540731
6036.0,1.731714,1.706774,-0.02494,0.4707,0.7061,10.3166,10.351442955453118
6046.0,1.714364,1.694846,-0.019518,0.4707,0.7453,10.3166,10.354190752540731
6056.0,1.706774,1.686171,-0.020603,0.4707,0.7453,10.3166,10.354190752540731
6066.0,1.71328,1.694846,-0.018434,0.5492,0.7453,10.3558,10.397099901895722
6076.0,1.727377,1.707858,-0.019518,0.4707,0.7845,10.3166,10.357086187726738
6086.0,1.710027,1.693762,-0.016265,0.5099,0.7845,10.3166,10.358941732628868
6096.0,1.731714,1.723039,-0.008675,0.5099,0.7453,10.3166,10.356046816232533
6106.0,1.724123,1.708943,-0.015181,0.4707,0.7845,10.3166,10.357086187726738
6116.0,1.731714,1.710027,-0.021687,0.5099,0.8238,10.3166,10.361992086949304
6126.0,1.742558,1.726292,-0.016265,0.4707,0.8238,10.3558,10.399172975289911
6136.0,1.727377,1.71328,-0.014097,0.5099,0.7453,10.3166,10.356046816232533
6146.0,1.751232,1.739304,-0.011928,0.5099,0.7845,10.3166,10.358941732628868
6156.0,1.739304,1.725208,-0.014097,0.4707,0.7061,10.3166,10.351442955453118
6166.0,1.741473,1.732798,-0.008675,0.4707,0.7453,10.3166,10.354190752540731
6176.0,1.751232,1.746895,-0.004337,0.4707,0.7453,10.3558,10.39324897325182
6186.0,1.741473,1.727377,-0.014097,0.4707,0.7453,10.2774,10.315133607472083
6196.0,1.76316,1.752317,-0.010844,0.5492,0.7061,10.3166,10.355309430915137
6206.0,1.746895,1.739304,-0.00759,0.5099,0.7453,10.2774,10.316996697682907
6216.0,1.756654,1.745811,-0.010844,0.5099,0.7453,10.3166,10.356046816232533
6226.0,1.76316,1.766413,0.003253,0.5099,0.7453,10.2774,10.316996697682907
6236.0,1.753401,1.745811,-0.00759,0.4707,0.8238,10.3166,10.360137088378705
6246.0,1.769666,1.768582,-0.001084,0.5099,0.7845,10.3558,10.397982107120592
6256.0,1.760992,1.759907,-0.001084,0.4707,0.7453,10.3558,10.39324897325182
6266.0,1.76316,1.766413,0.003253,0.5099,0.7453,10.3166,10.356046816232533
6276.0,1.772919,1.781594,0.008675,0.5099,0.7453,10.3558,10.395098063029517
6286.0,1.766413,1.757738,-0.008675,0.4707,0.7453,10.3166,10.354190752540731
6296.0,1.78051,1.782679,0.002169,0.5099,0.7845,10.3166,10.358941732628868
6306.0,1.769666,1.769666,0.0,0.4707,0.7453,10.3166,10.354190752540731
6316.0,1.777257,1.778341,0.001084,0.5099,0.7061,10.3558,10.392361082064076
6326.0,1.781594,1.790269,0.008675,0.5492,0.7845,10.3166,10.36095055726066
6336.0,1.770751,1.771835,0.001084,0.5492,0.7453,10.2774,10.319013687848273
6346.0,1.790269,1.794607,0.004337,0.4707,0.7453,10.3558,10.39324897325182
6356.0,1.78051,1.784847,0.004337,0.5099,0.7453,10.3558,10.395098063029517
6366.0,1.782679,1.790269,0.00759,0.5099,0.7061,10.3166,10.353299511749864
6376.0,1.794607,1.802197,0.00759,0.5099,0.7845,10.3558,10.397982107120592
6386.0,1.78051,1.781594,0.001084,0.5099,0.7453,10.3166,10.356046816232533
6396.0,1.79786,1.801113,0.003253,0.4707,0.7453,10.3558,10.39324897325182
6406.0,1.787016,1.791353,0.004337,0.5492,0.7061,10.3166,10.355309430915137
6416.0,1.793522,1.800028,0.006506,0.4707,0.7453,10.3166,10.354190752540731
6426.0,1.802197,1.809787,0.00759,0.5492,0.7453,10.3166,10.358056202299734
6436.0,1.7881,1.790269,0.002169,0.5492,0.7061,10.3166,10.355309430915137
6446.0,1.807619,1.814125,0.006506,0.5884,0.8238,10.2381,10.288029578592782
6456.0,1.796775,1.798944,0.002169,0.5492,0.7845,10.3558,10.399983390852123
6466.0,1.800028,1.80545,0.005422,0.5099,0.8238,10.3166,10.361992086949304
6476.0,1.807619,1.819547,0.011928,0.4707,0.863,10.3558,10.402351711512162
6486.0,1.7881,1.79786,0.009759,0.4707,0.7845,10.2774,10.318040002829996
6496.0,1.80545,1.820631,0.015181,0.4315,0.7845,10.2381,10.277174908991283
6506.0,1.796775,1.806534,0.009759,0.4315,0.7845,10.3166,10.355378701911388
6516.0,1.809787,1.810872,0.001084,0.3923,0.7845,10.3558,10.392878964945181
6526.0,1.810872,1.826053,0.015181,0.4315,0.7453,10.2774,10.313419176005599
6536.0,1.819547,1.826053,0.006506,0.3923,0.7453,10.3166,10.35092299942377
6546.0,1.881355,1.908464,0.027109,0.3923,0.7453,10.3166,10.35092299942377
6556.0,1.900873,1.950754,0.04988,0.4315,0.7061,10.3558,10.38880951312517
6566.0,1.923645,1.980031,0.056386,0.4707,0.7453,10.3558,10.39324897325182
6576.0,1.925813,1.985453,0.059639,0.4315,0.7453,10.3166,10.35248278916705
6586.0,1.881355,1.920392,0.039037,0.4707,0.7061,10.3558,10.390511505214747
6596.0,1.861837,1.885692,0.023856,0.5099,0.7061,10.3558,10.392361082064076
6606.0,1.808703,1.804366,-0.004337,0.5099,0.7845,10.3558,10.397982107120592
6616.0,1.787016,1.781594,-0.005422,0.5492,0.7453,10.395,10.436144773334643
6626.0,1.795691,1.807619,0.011928,0.5099,0.7453,10.395,10.43415042540599
6636.0,1.787016,1.787016,0.0,0.5492,0.7845,10.3166,10.36095055726066
6646.0,1.804366,1.809787,0.005422,0.5099,0.8238,10.2774,10.322964458429565
6656.0,1.791353,1.803281,0.011928,0.5099,0.8238,10.3166,10.361992086949304
6666.0,1.796775,1.801113,0.004337,0.5492,0.7453,10.3558,10.397099901895722
6676.0,1.808703,1.809787,0.001084,0.5492,0.7845,10.2774,10.321918990672229
6686.0,1.7881,1.784847,-0.003253,0.5492,0.7453,10.3558,10.397099901895722
6696.0,1.682918,1.693762,0.010844,0.5492,0.7061,10.3166,10.355309430915137
6706.0,1.741473,1.76316,0.021687,0.5099,0.7453,10.3166,10.356046816232533
6716.0,2.264132,2.41052,0.146388,0.5492,0.7061,10.3558,10.394363448042405
6726.0,2.713055,2.981975,0.26892,0.5099,0.7453,10.395,10.43415042540599
6736.0,2.269554,2.454978,0.185425,0.5099,0.7845,10.3558,10.397982107120592
6746.0,1.744726,1.743642,-0.001084,0.4707,0.7453,10.3558,10.39324897325182
6756.0,1.6287,1.598338,-0.030362,0.4707,0.7453,10.3166,10.354190752540731
6766.0,1.740389,1.717617,-0.022771,0.4707,0.7453,10.2774,10.315133607472083
6776.0,1.759907,1.751232,-0.008675,0.5099,0.7845,10.2774,10.31990256833852
6786.0,1.742558,1.727377,-0.015181,0.5099,0.7845,10.3166,10.358941732628868
6796.0,1.76316,1.745811,-0.01735,0.4707,0.7845,10.3558,10.396133530308276
6806.0,1.753401,1.739304,-0.014097,0.4707,0.7453,10.2774,10.315133607472083
6816.0,1.752317,1.750148,-0.002169,0.5099,0.7061,10.3166,10.353299511749864
6826.0,1.762076,1.757738,-0.004337,0.5099,0.8238,10.3558,10.401021011900706
6836.0,1.751232,1.741473,-0.009759,0.4707,0.7453,10.3166,10.354190752540731
6846.0,1.769666,1.766413,-0.003253,0.4707,0.7453,10.3166,10.354190752540731
6856.0,1.758823,1.751232,-0.00759,0.4707,0.7453,10.395,10.432308257523834
6866.0,1.765329,1.753401,-0.011928,0.4315,0.7845,10.3166,10.355378701911388
6876.0,1.777257,1.766413,-0.010844,0.4707,0.7453,10.2774,10.315133607472083
6886.0,1.766413,1.757738,-0.008675,0.4707,0.7453,10.3558,10.39324897325182
6896.0,1.828222,1.823884,-0.004337,0.5099,0.7453,10.3558,10.395098063029517
6906.0,1.861837,1.868343,0.006506,0.5099,0.7845,10.3166,10.358941732628868
6916.0,1.900873,1.927982,0.027109,0.5099,0.7845,10.3166,10.358941732628868
6926.0,1.948585,1.994128,0.045543,0.5492,0.7845,10.3166,10.36095055726066
6936.0,1.961597,2.003887,0.04229,0.5492,0.7453,10.2774,10.319013687848273
6946.0,2.008224,2.052683,0.044459,0.5099,0.7845,10.3558,10.397982107120592
6956.0,2.003887,2.051599,0.047712,0.4707,0.7845,10.3558,10.396133530308276
6966.0,1.997381,2.04943,0.052049,0.5099,0.7453,10.3558,10.395098063029517
6976.0,1.990875,2.044008,0.053133,0.5099,0.7453,10.3558,10.395098063029517
6986.0,1.946416,1.984369,0.037952,0.5492,0.7061,10.3166,10.355309430915137
6996.0,1.924729,1.955091,0.030362,0.5099,0.7453,10.3558,10.395098063029517
7006.0,1.869427,1.895451,0.026025,0.5099,0.7453,10.3166,10.356046816232533
7016.0,1.823884,1.833643,0.009759,0.4707,0.7061,10.3166,10.351442955453118
7026.0,1.791353,1.787016,-0.004337,0.4707,0.7845,10.3558,10.396133530308276
7036.0,1.729545,1.71328,-0.016265,0.5099,0.7453,10.3558,10.395098063029517
7046.0,1.716533,1.698099,-0.018434,0.5099,0.7061,10.3558,10.392361082064076
7056.0,1.706774,1.685087,-0.021687,0.5099,0.7453,10.3558,10.395098063029517
7066.0,1.71328,1.691593,-0.021687,0.4707,0.7845,10.395,10.435182017578802
7076.0,1.724123,1.706774,-0.01735,0.4707,0.7845,10.395,10.435182017578802
7086.0,1.708943,1.689424,-0.019518,0.4707,0.7453,10.3558,10.39324897325182
7096.0,1.733883,1.723039,-0.010844,0.5099,0.7845,10.3558,10.397982107120592
7106.0,1.723039,1.708943,-0.014097,0.5492,0.7845,10.3166,10.36095055726066
7116.0,1.727377,1.715449,-0.011928,0.4707,0.8238,10.3166,10.360137088378705
7126.0,1.739304,1.725208,-0.014097,0.4707,0.7845,10.3166,10.357086187726738
7136.0,1.729545,1.712196,-0.01735,0.4707,0.7845,10.3558,10.396133530308276
7146.0,1.746895,1.734967,-0.011928,0.4315,0.7453,10.3166,10.35248278916705
7156.0,1.733883,1.725208,-0.008675,0.4315,0.7453,10.3166,10.35248278916705
